source,target
100,78
78,23
23,20
20,60
60,42
42,58
58,147
147,158
158,157
157,129
129,159
159,24
24,44
44,64
64,96
96,101
101,41
41,26
26,112
112,6
6,162
162,67
67,125
125,38
38,34
34,118
118,25
25,83
83,139
139,164
164,91
91,123
123,95
95,148
13,14
14,165
165,120
120,27
27,71
71,21
21,106
106,105
105,24
6,163
163,141
141,114
114,7
7,86
86,28
28,122
122,80
80,84
84,22
56,55
55,124
124,142
142,31
31,69
69,4
4,129
114,140
140,77
77,81
81,102
102,82
82,143
33,156
156,115
115,40
40,59
59,75
75,161
161,70
70,15
15,119
119,104
104,149
149,103
103,66
66,3
3,50
50,41
41,12
12,10
10,145
145,167
167,121
121,30
30,154
154,90
90,52
52,99
99,108
108,138
138,131
104,146
146,130
130,94
94,57
57,144
144,141
141,125
125,65
65,29
29,54
54,62
62,51
51,154
154,89
89,152
152,68
68,17
17,153
153,151
151,44
44,128
128,113
113,45
45,76
76,134
134,36
36,104
104,36
36,134
134,76
76,45
45,113
113,128
128,44
44,151
151,153
153,17
17,68
68,152
152,89
89,154
154,51
51,62
62,54
54,29
29,65
65,125
125,141
141,144
144,57
57,94
94,130
130,146
146,104
94,73
73,9
9,126
126,16
16,1
1,5
5,49
49,35
1,48
48,32
32,166
166,155
155,74
126,98
98,132
136,137
137,53
53,135
135,107
107,37
37,93
93,63
63,19
19,85
85,72
72,160
160,18
18,39
39,79
79,97
97,104
2,88
88,116
116,87
87,110
110,133
133,39
154,47
47,95
148,46
46,8
8,111
150,61
61,43
43,133
60,11
11,127
127,92
92,21
24,128
146,109
109,9
35,49
49,5
5,1
1,16
16,126
126,9
9,109
109,146
146,149
