linename,edge_source,edge_target
S1,100,78
S1,78,23
S1,23,20
S1,20,60
S1,60,42
S1,42,58
S1,58,147
S1,147,158
S1,158,157
S1,157,129
S1,129,159
S1,159,24
S1,24,44
S1,44,64
S1,64,96
S1,96,101
S1,101,41
S1,41,26
S1,26,112
S1,112,6
S1,6,162
S1,162,67
S1,67,125
S1,125,38
S1,38,34
S1,34,118
S1,118,25
S1,25,83
S1,83,139
S1,139,164
S1,164,91
S1,91,123
S1,123,95
S1,95,148
S2,13,14
S2,14,165
S2,165,120
S2,120,27
S2,27,71
S2,71,21
S2,21,106
S2,106,105
S2,105,24
S2,24,44
S2,44,64
S2,64,96
S2,96,101
S2,101,41
S2,41,26
S2,26,112
S2,112,6
S2,6,163
S2,163,141
S2,141,114
S2,114,7
S2,7,86
S2,86,28
S2,28,122
S2,122,80
S2,80,84
S2,84,22
S25,56,55
S25,55,124
S25,124,142
S25,142,31
S25,31,69
S25,69,4
S25,4,129
S25,129,159
S25,159,24
S25,24,44
S25,44,64
S25,64,96
S25,96,101
S25,101,41
S25,41,26
S25,26,112
S25,112,6
S25,6,163
S25,163,141
S25,141,114
S25,114,140
S25,140,77
S25,77,81
S25,81,102
S25,102,82
S25,82,143
S3,33,156
S3,156,115
S3,115,40
S3,40,59
S3,59,75
S3,75,161
S3,161,70
S3,70,15
S3,15,119
S3,119,104
S3,104,149
S3,149,103
S3,103,66
S3,66,3
S3,3,50
S3,50,41
S3,41,12
S3,12,10
S3,10,145
S3,145,167
S3,167,121
S3,121,30
S3,30,154
S3,154,90
S3,90,52
S3,52,99
S3,99,108
S3,108,138
S3,138,131
S41,104,146
S41,146,130
S41,130,94
S41,94,57
S41,57,144
S41,144,141
S41,141,125
S41,125,65
S41,65,29
S41,29,54
S41,54,62
S41,62,51
S41,51,154
S41,154,89
S41,89,152
S41,152,68
S41,68,17
S41,17,153
S41,153,151
S41,151,44
S41,44,128
S41,128,113
S41,113,45
S41,45,76
S41,76,134
S41,134,36
S41,36,104
S42,104,36
S42,36,134
S42,134,76
S42,76,45
S42,45,113
S42,113,128
S42,128,44
S42,44,151
S42,151,153
S42,153,17
S42,17,68
S42,68,152
S42,152,89
S42,89,154
S42,154,51
S42,51,62
S42,62,54
S42,54,29
S42,29,65
S42,65,125
S42,125,141
S42,141,144
S42,144,57
S42,57,94
S42,94,130
S42,130,146
S42,146,104
S45,141,144
S45,144,57
S45,57,94
S45,94,73
S45,73,9
S45,9,126
S45,126,16
S45,16,1
S45,1,5
S45,5,49
S45,49,35
S46,152,89
S46,89,154
S46,154,51
S46,51,62
S46,62,54
S46,54,29
S46,29,65
S46,65,125
S46,125,141
S46,141,144
S46,144,57
S46,57,94
S46,94,73
S46,73,9
S46,9,126
S46,126,16
S46,16,1
S46,1,48
S46,48,32
S46,32,166
S46,166,155
S46,155,74
S47,57,94
S47,94,73
S47,73,9
S47,9,126
S47,126,98
S47,98,132
S5,136,137
S5,137,53
S5,53,135
S5,135,107
S5,107,37
S5,37,93
S5,93,63
S5,63,19
S5,19,85
S5,85,72
S5,72,160
S5,160,18
S5,18,39
S5,39,79
S5,79,97
S5,97,104
S5,104,149
S5,149,103
S5,103,66
S5,66,3
S5,3,50
S5,50,41
S5,41,12
S5,12,10
S5,10,145
S5,145,167
S5,167,121
S5,121,30
S5,30,154
S7,2,88
S7,88,116
S7,116,87
S7,87,110
S7,110,133
S7,133,39
S7,39,79
S7,79,97
S7,97,104
S7,104,149
S7,149,103
S7,103,66
S7,66,3
S7,3,50
S7,50,41
S7,41,12
S7,12,10
S7,10,145
S7,145,167
S7,167,121
S7,121,30
S7,30,154
S7,154,47
S7,47,95
S7,95,148
S7,148,46
S7,46,8
S7,8,111
S75,150,61
S75,61,43
S75,43,133
S75,133,39
S75,39,79
S75,79,97
S75,97,104
S8,20,60
S8,60,11
S8,11,127
S8,127,92
S8,92,21
S8,21,106
S8,106,105
S8,105,24
S8,24,128
S8,128,113
S8,113,45
S8,45,76
S8,76,134
S8,134,36
S8,36,104
S8,104,146
S8,146,109
S8,109,9
S8,9,126
S8,126,16
S8,16,1
S8,1,48
S8,48,32
S8,32,166
S85,105,24
S85,24,128
S85,128,113
S85,113,45
S85,45,76
S85,76,134
S85,134,36
S85,36,104
S85,104,146
S85,146,109
S85,109,9
S85,9,126
S85,126,16
S85,16,1
S85,1,48
S9,35,49
S9,49,5
S9,5,1
S9,1,16
S9,16,126
S9,126,9
S9,9,109
S9,109,146
S9,146,149
S9,149,103
S9,103,66
S9,66,3
S9,3,50
S9,50,41
S9,41,12
S9,12,10
S9,10,145
S9,145,167
S9,167,121
S9,121,30
S9,30,154
S9,154,90
S9,90,52
S9,52,99
S9,99,108
S9,108,138
S9,138,131
