number,name,posx,posy
1,Adlershof,13.540553,52.435102
2,Ahrensfelde,13.566118,52.571564
3,Alexanderplatz,13.411267,52.521512
4,Alt-Reinickendorf,13.349747,52.577969
5,Altglienicke,13.559602,52.407791
6,Anhalter Bahnhof,13.382077,52.504538
7,Attilastr.,13.361177,52.447298
8,Babelsberg,13.094623,52.391372
9,Baumschulenweg,13.489505,52.467581
10,Bellevue,13.347098,52.519951
11,Bergfelde,13.321455,52.669695
12,Berlin Hauptbahnhof,13.368924,52.525847
13,Bernau,13.593034,52.676233
14,Bernau-Friedenstal,13.564597,52.668369
15,Betriebsbahnhof Rummelsburg,13.497509,52.493957
16,Betriebsbahnhof Schoeneweide,13.524028,52.446695
17,Beusselstr.,13.328703,52.534314
18,Biesdorf,13.555035,52.513059
19,Birkenstein,13.648591,52.515755
20,Birkenwerder,13.288417,52.687871
21,Blankenburg,13.442972,52.591069
22,Blankenfelde,13.415908,52.337628
23,Borgsdorf,13.276771,52.714491
24,Bornholmer Str.,13.39784,52.554754
25,Botanischer Garten,13.306041,52.447552
26,Brandenburger Tor,13.381937,52.516511
27,Buch,13.492452,52.636614
28,Buckower Chaussee,13.382689,52.410919
29,Bundesplatz,13.329149,52.477366
30,Charlottenburg,13.305212,52.505052
31,Eichborndamm,13.315583,52.577545
32,Eichwalde,13.614966,52.372085
33,Erkner,13.752249,52.428396
34,Feuerbachstr.,13.332412,52.463578
35,Flughafen Berlin-Schoenefeld,13.513522,52.390792
36,Frankfurter Allee,13.4753,52.513613
37,Fredersdorf,13.761324,52.526461
38,Friedenau,13.340598,52.470002
39,Friedrichsfelde Ost,13.520043,52.513747
40,Friedrichshagen,13.625462,52.45709
41,Friedrichstr.,13.387153,52.52027
42,Frohnau,13.289564,52.632958
43,Gehrenseestr.,13.525653,52.555736
44,Gesundbrunnen,13.388372,52.548637
45,Greifswalder Str.,13.438356,52.540724
46,Griebnitzsee,13.128917,52.393988
47,Grunewald,13.261944,52.48868
48,Gruenau,13.574018,52.412714
49,Gruenbergallee,13.543222,52.399539
50,Hackescher Markt,13.402358,52.522607
51,Halensee,13.290151,52.496698
