round,date,home,away,winner
0,2026-03-05,SYD,CAR,SYD
0,2026-03-06,GCS,GEE,GCS
0,2026-03-07,GWS,HAW,GWS
0,2026-03-07,BRI,WBD,WBD
0,2026-03-08,STK,COL,COL
1,2026-03-12,CAR,RIC,CAR
1,2026-03-13,ESS,HAW,HAW
1,2026-03-14,WBD,GWS,WBD
1,2026-03-14,GEE,FRE,GEE
1,2026-03-14,SYD,BRI,SYD
1,2026-03-14,COL,ADE,ADE
1,2026-03-15,NTH,PTA,NTH
1,2026-03-15,MEL,STK,MEL
1,2026-03-15,GCS,WCE,GCS
2,2026-03-19,HAW,SYD,HAW
2,2026-03-20,ADE,WBD,WBD
2,2026-03-21,RIC,GCS,GCS
2,2026-03-21,GWS,STK,STK
2,2026-03-21,FRE,MEL,FRE
2,2026-03-22,PTA,ESS,PTA
2,2026-03-22,WCE,NTH,WCE
3,2026-03-26,GEE,ADE,GEE
3,2026-03-27,COL,GWS,COL
3,2026-03-28,STK,BRI,BRI
3,2026-03-28,FRE,RIC,FRE
3,2026-03-28,ESS,NTH,NTH
3,2026-03-29,PTA,WCE,WCE
3,2026-03-29,CAR,MEL,MEL
4,2026-04-02,BRI,COL,BRI
4,2026-04-03,NTH,CAR,NTH
4,2026-04-03,ADE,FRE,FRE
4,2026-04-04,RIC,PTA,PTA
4,2026-04-04,WCE,SYD,SYD
4,2026-04-05,MEL,GCS,MEL
4,2026-04-05,WBD,ESS,WBD
4,2026-04-06,HAW,GEE,HAW
5,2026-04-09,ADE,CAR,ADE
5,2026-04-10,COL,FRE,FRE
5,2026-04-11,NTH,BRI,BRI
5,2026-04-11,ESS,MEL,ESS
5,2026-04-11,SYD,GCS,SYD
5,2026-04-11,HAW,WBD,HAW
5,2026-04-12,GEE,WCE,GEE
5,2026-04-12,GWS,RIC,GWS
5,2026-04-12,PTA,STK,STK
6,2026-04-16,CAR,COL,COL
6,2026-04-17,GEE,WBD,GEE
6,2026-04-17,SYD,GWS,SYD
6,2026-04-18,GCS,ESS,GCS
6,2026-04-18,HAW,PTA,HAW
6,2026-04-18,ADE,STK,ADE
6,2026-04-19,NTH,RIC,NTH
6,2026-04-19,MEL,BRI,MEL
6,2026-04-19,WCE,FRE,FRE
7,2026-04-23,WBD,SYD,SYD
7,2026-04-24,RIC,MEL,MEL
7,2026-04-25,HAW,GCS,HAW
7,2026-04-25,ESS,COL,COL
7,2026-04-25,PTA,GEE,PTA
7,2026-04-25,FRE,CAR,FRE
7,2026-04-26,STK,WCE,STK
7,2026-04-26,BRI,ADE,BRI
7,2026-04-26,GWS,NTH,GWS
8,2026-04-30,COL,HAW,draw
8,2026-05-01,WBD,FRE,FRE
8,2026-05-01,ADE,PTA,ADE
8,2026-05-02,ESS,BRI,BRI
8,2026-05-02,WCE,RIC,RIC
8,2026-05-02,GEE,NTH,GEE
8,2026-05-02,CAR,STK,STK
8,2026-05-03,SYD,MEL,SYD
8,2026-05-03,GCS,GWS,GCS
9,2026-05-07,FRE,HAW,FRE
9,2026-05-08,BRI,CAR,BRI
9,2026-05-08,PTA,WBD,WBD
9,2026-05-09,NTH,SYD,SYD
9,2026-05-09,GWS,ESS,GWS
9,2026-05-09,GCS,STK,GCS
9,2026-05-09,GEE,COL,GEE
9,2026-05-10,MEL,WCE,MEL
9,2026-05-10,RIC,ADE,ADE
10,2026-05-14,BRI,GEE,GEE
10,2026-05-15,SYD,COL,SYD
10,2026-05-15,GCS,PTA,GCS
10,2026-05-16,ADE,NTH,ADE
10,2026-05-16,MEL,HAW,MEL
10,2026-05-16,CAR,WBD,CAR
10,2026-05-17,ESS,FRE,FRE
10,2026-05-17,STK,RIC,STK
10,2026-05-17,WCE,GWS,WCE
11,2026-05-21,HAW,ADE,HAW
11,2026-05-22,RIC,ESS,RIC
11,2026-05-22,FRE,STK,FRE
11,2026-05-23,NTH,GCS,NTH
11,2026-05-23,GEE,SYD,GEE
11,2026-05-23,COL,WCE,COL
11,2026-05-23,PTA,CAR,CAR
11,2026-05-24,GWS,BRI,GWS
11,2026-05-24,WBD,MEL,WBD
12,2026-05-28,STK,HAW,HAW
12,2026-05-29,CAR,GEE,CAR
12,2026-05-30,SYD,RIC,SYD
12,2026-05-30,BRI,FRE,FRE
12,2026-05-30,WBD,COL,WBD
12,2026-05-31,MEL,GWS,GWS
12,2026-05-31,WCE,ESS,WCE
13,2026-06-04,ADE,GEE,ADE
13,2026-06-05,HAW,WBD,WBD
13,2026-06-06,NTH,FRE,FRE
13,2026-06-06,GCS,BRI,BRI
13,2026-06-06,WCE,PTA,PTA
13,2026-06-07,SYD,STK,SYD
13,2026-06-07,ESS,CAR,CAR
13,2026-06-08,COL,MEL,MEL
14,2026-06-11,WBD,ADE,ADE
14,2026-06-12,GEE,GCS,GEE
14,2026-06-13,MEL,ESS,MEL
14,2026-06-13,NTH,WCE,NTH
14,2026-06-13,PTA,SYD,SYD
14,2026-06-14,RIC,BRI,BRI
14,2026-06-14,STK,GWS,STK
15,2026-06-18,FRE,GEE,FRE
15,2026-06-19,GCS,HAW,HAW
15,2026-06-20,ADE,MEL,ADE
15,2026-06-20,GWS,CAR,CAR
15,2026-06-20,COL,PTA,COL
15,2026-06-21,RIC,NTH,NTH
15,2026-06-21,STK,WBD,WBD
16,2026-06-25,BRI,SYD,BRI
16,2026-06-26,HAW,GWS,HAW
16,2026-06-27,CAR,WCE,CAR
16,2026-06-27,COL,RIC,COL
16,2026-06-27,PTA,ADE,PTA
16,2026-06-28,NTH,ESS,NTH
16,2026-06-28,FRE,GCS,FRE
17,2026-07-02,GEE,BRI,BRI
17,2026-07-03,SYD,WBD,SYD
17,2026-07-03,WCE,ADE,ADE
17,2026-07-04,HAW,MEL,MEL
17,2026-07-04,GWS,FRE,GWS
17,2026-07-04,GCS,COL,COL
17,2026-07-04,RIC,CAR,CAR
17,2026-07-05,ESS,STK,STK
17,2026-07-05,PTA,NTH,PTA
18,2026-07-09,FRE,SYD,FRE
18,2026-07-10,COL,NTH,COL
18,2026-07-11,STK,PTA,STK
18,2026-07-11,GWS,GEE,GWS
18,2026-07-11,CAR,HAW,HAW
18,2026-07-11,ADE,GCS,ADE
18,2026-07-12,WBD,WCE,WBD
18,2026-07-12,MEL,RIC,MEL
18,2026-07-12,BRI,ESS,BRI
19,2026-07-16,GEE,STK,GEE
19,2026-07-17,SYD,ADE,ADE
19,2026-07-18,PTA,FRE,FRE
19,2026-07-18,NTH,MEL,MEL
19,2026-07-18,COL,CAR,COL
19,2026-07-18,WCE,BRI,BRI
19,2026-07-19,RIC,HAW,HAW
19,2026-07-19,GCS,WBD,WBD
19,2026-07-19,ESS,GWS,ESS
20,2026-07-23,ADE,COL,COL
20,2026-07-24,MEL,GEE,GEE
20,2026-07-24,FRE,WCE,FRE
20,2026-07-25,CAR,GCS,CAR
20,2026-07-25,HAW,ESS,HAW
20,2026-07-25,GWS,SYD,SYD
20,2026-07-25,WBD,RIC,WBD
20,2026-07-26,BRI,PTA,BRI
20,2026-07-26,NTH,STK,STK
21,2026-07-30,COL,GEE,GEE
21,2026-07-31,FRE,WBD,FRE
21,2026-08-01,STK,SYD,SYD
21,2026-08-01,HAW,NTH,HAW
21,2026-08-01,PTA,GWS,GWS
21,2026-08-01,CAR,BRI,CAR
21,2026-08-02,RIC,WCE,RIC
21,2026-08-02,GCS,MEL,MEL
21,2026-08-02,ESS,ADE,ADE
22,2026-08-06,WBD,NTH,NTH
22,2026-08-07,BRI,HAW,BRI
22,2026-08-08,MEL,FRE,MEL
22,2026-08-08,SYD,PTA,SYD
22,2026-08-08,GEE,ESS,GEE
22,2026-08-08,ADE,RIC,ADE
22,2026-08-09,GWS,GCS,GCS
22,2026-08-09,WCE,COL,COL
22,2026-08-09,STK,CAR,CAR
23,2026-08-15,BRI,GCS,BRI
23,2026-08-16,ESS,SYD,SYD
23,2026-08-16,GWS,WCE,GWS
23,2026-08-15,HAW,COL,draw
23,2026-08-15,NTH,GEE,GEE
23,2026-08-15,RIC,STK,STK
23,2026-08-16,WBD,CAR,draw
23,2026-08-15,PTA,MEL,MEL
23,2026-08-14,FRE,ADE,FRE
24,2026-08-21,COL,BRI,BRI
24,2026-08-22,CAR,FRE,CAR
24,2026-08-23,ESS,PTA,PTA
24,2026-08-22,GEE,RIC,GEE
24,2026-08-22,MEL,WBD,WBD
24,2026-08-20,STK,GCS,GCS
24,2026-08-23,SYD,NTH,SYD
24,2026-08-22,ADE,GWS,ADE
24,2026-08-23,WCE,HAW,HAW
