index,bus_i,name,lat,lon
0,123,J C McNeil,44.492,-73.208
1,187,9001043100,41.11,-73.457
2,239,9001071000,41.172,-73.218
3,338,9001245500,41.275,-73.516
4,845,9011690300,41.293,-72.925
5,1380,25003913100,42.372,-73.276
6,1761,25013810602,42.173,-72.538
7,3338,50003971200,42.884,-73.193
8,3362,50007002200,44.546,-73.154
9,3433,50021962700,43.62,-73.017
10,3502,Indian Point 2,41.271,-73.953
11,3503,Indian Point 3,41.271,-73.953
12,3504,Oswego Harbor Power,43.459,-76.532
13,3505,Charles Poletti,40.776,-73.911
14,3506,James A Fitzpatrick,43.521,-76.408
15,3507,Somerset Operating Co LLC,43.359,-78.605
16,3508,Nine Mile Point Nuclear Station,43.521,-76.41
17,3509,Bowline Point,41.204,-73.969
18,3510,Roseton Generating Facility,41.574,-73.966
19,3511,R E Ginna Nuclear Power Plant,43.278,-77.31
20,3512,Selkirk Cogen,42.574,-73.859
21,3513,Northport,40.924,-73.342
22,3514,Arthur Kill Generating Station,40.592,-74.2
23,3515,E F Barrett,40.617,-73.648
24,3516,Athens Generating Plant,42.273,-73.849
25,3517,Blenheim Gilboa,42.442,-74.448
26,3518,Caithness Long Island Energy Center,40.814,-72.94
27,3519,East River,40.728,-73.974
28,3520,Astoria Generating Station,40.788,-73.913
29,3521,Bethpage Power Plant,40.747,-73.499
30,3522,Empire Generating Co  LLC,42.625,-73.75
31,3523,Ravenswood,40.759,-73.946
32,3524,Astoria Energy,40.782,-73.896
33,3525,500MW CC,40.789,-73.907
34,3526,Sithe Independence Station,43.495,-76.451
35,3527,Cayuga Operating Company,42.603,-76.634
36,3528,Astoria Gas Turbines,40.787,-73.905
37,3529,RED-Rochester LLC,43.199,-77.632
38,3530,Noble Wethersfield Windpark LLC,42.67,-78.228
39,3531,Brooklyn Navy Yard Cogeneration,40.699,-73.976
40,3532,Glenwood,40.827,-73.647
41,3533,Greenidge Generation LLC,42.679,-76.948
42,3534,High Sheldon Wind Farm,42.779,-78.427
43,3535,Richard M Flynn,40.816,-73.064
44,3536,Noble Chateaugay Windpark LLC,44.892,-74.03
45,3537,Noble Clinton Windpark LLC,44.891,-74.006
46,3538,Noble Bliss Windpark LLC,42.537,-78.305
47,3539,Far Rockaway,40.611,-73.761
48,3540,Noble Altona Windpark LLC,44.822,-73.651
49,3541,Dunkirk Generating Plant,42.491,-79.347
50,3542,Saranac Facility,44.713,-73.456
51,3543,Indeck Corinth Energy Center,43.25,-73.813
52,3544,Cohocton Wind Project,42.45,-77.52
53,3545,Wading River,40.957,-72.877
54,3546,Covanta Hempstead,40.739,-73.591
55,3547,Danskammer Generating Station,41.571,-73.975
56,3548,Massena Energy Facility,44.95,-74.893
57,3549,Batavia Power Plant,42.983,-78.159
58,3550,CH Resources Syracuse,43.066,-76.214
59,3551,Sterling Power Plant,43.08,-75.601
60,3552,Plant No 2 Freeport,40.645,-73.568
61,3555,Wheelabrator Westchester,41.277,-73.942
62,3556,Indeck Oswego Energy Center,43.472,-76.493
63,3557,Robert Moses Power Dam,45.004,-74.799
64,3558,Holtsville,40.817,-73.066
65,3559,Indeck Silver Springs Energy Center,42.654,-78.077
66,3561,Fortistar North Tonawanda,43.048,-78.854
67,3562,Nassau Energy Corp,40.726,-73.589
68,3563,Hawkeye Energy Greenport LLC,41.106,-72.376
69,3564,Port Jefferson,40.95,-73.079
70,3565,Glenwood Landing,40.828,-73.648
71,3566,Shoreham,40.962,-72.865
72,3567,West Babylon,40.695,-73.349
73,3568,Edgewood Energy LLC,40.786,-73.293
74,3569,Shoreham Energy LLC,40.957,-72.866
75,3570,Pinelawn Power LLC,40.737,-73.388
76,3571,Rensselaer Cogen,42.625,-73.75
77,3572,Hudson Avenue,40.705,-73.981
78,3573,Carr Street Generating Station,43.061,-76.082
79,3574,Lockport Energy Associates LP,43.162,-78.745
80,3576,S A Carlson,42.093,-79.248
81,3577,Spier Falls,43.234,-73.756
82,3578,Vernon Boulevard,40.754,-73.951
83,3579,Joseph J Seymour Power Project,40.663,-74
84,3581,Hell Gate,40.799,-73.909
85,3582,Harlem River Yard,40.799,-73.916
86,3583,North 1st,40.717,-73.966
87,3584,Pouch,40.618,-74.068
88,3585,Castleton Energy Center,42.538,-73.743
89,3586,Stony Brook Cogen Plant,40.917,-73.129
90,3587,Hillburn,41.127,-74.165
91,3588,Indeck Olean Energy Center,42.086,-78.454
92,3590,Ticonderoga Mill,43.891,-73.397
93,3592,Allegany Cogen,42.503,-78.069
94,3593,Shoemaker,41.428,-74.419
95,3594,Carthage Energy LLC,43.984,-75.623
96,3595,Onondaga County Resource Recovery,43.005,-76.115
97,3597,Dutch Hill Wind Project,42.546,-77.497
98,3598,74th Street,40.768,-73.951
99,3599,Sherman Island,43.28,-73.709
100,3600,Bennetts Bridge,43.532,-75.953
101,3602,Stewarts Bridge,43.298,-73.885
102,3603,Munnsville Wind Farm LLC,42.909,-75.57
103,3604,Maple Ridge Wind Farm,43.785,-75.575
104,3606,Charles P Keller,40.658,-73.641
105,3609,Ogdensburg Power,44.726,-75.442
106,3610,Stark,44.455,-74.761
107,3612,Neversink,41.819,-74.636
108,3613,Rainbow Falls Hydro,44.518,-74.823
109,3614,Covanta Niagara LP,43.084,-79.006
110,3615,Curtis Palmer Hydroelectric,43.247,-73.828
111,3616,Five Falls,44.527,-74.849
112,3617,Lederle Laboratories,41.077,-74.018
113,3618,E J West,43.319,-73.921
114,3619,Narrows Gas Turbines Generating,40.649,-74.021
115,3620,Hudson Falls Hydroelectric Project,43.296,-73.596
116,3622,South Cairo,42.291,-73.986
117,3625,South Colton,44.513,-74.883
118,3627,Gowanus Gas Turbines Generating,40.663,-74.005
119,3628,Lewiston Niagara,43.143,-79.022
120,3630,36001000100,42.669,-73.736
121,3631,36001000200,42.664,-73.752
122,3651,36001002100,42.65,-73.778
123,3654,36001002500,42.641,-73.755
124,3655,36001002600,42.631,-73.765
125,3664,36001013503,42.784,-73.737
126,3666,36001013506,42.747,-73.73
127,3670,36001013602,42.691,-73.727
128,3671,36001013703,42.745,-73.815
129,3675,36001013801,42.746,-73.879
130,3678,36001013902,42.723,-73.827
131,3684,36001014203,42.606,-73.844
132,3685,36001014301,42.562,-73.779
133,3686,36001014302,42.565,-73.84
134,3687,36001014401,42.495,-73.882
135,3693,36001014607,42.728,-73.91
136,3696,36001014611,42.691,-73.935
137,3707,36003950300,42.466,-78.196
138,3718,36005000100,40.792,-73.892
139,3722,36005001900,40.805,-73.925
140,3726,36005002500,40.807,-73.921
141,3727,36005002701,40.806,-73.917
142,3728,36005002702,40.807,-73.916
143,3729,36005002800,40.822,-73.878
144,3736,36005004001,40.828,-73.858
145,3738,36005004200,40.824,-73.862
146,3745,36005005100,40.813,-73.927
147,3753,36005006200,40.833,-73.875
148,3762,36005007200,40.831,-73.861
149,3763,36005007300,40.815,-73.909
150,3769,36005007900,40.816,-73.905
151,3770,36005008300,40.814,-73.902
152,3778,36005009300,40.814,-73.895
153,3784,36005011800,40.813,-73.805
154,3794,36005013200,40.817,-73.819
155,3797,36005013800,40.822,-73.81
156,3800,36005014400,40.821,-73.823
157,3801,36005014500,40.832,-73.907
158,3806,36005015200,40.826,-73.825
159,3816,36005016500,40.843,-73.9
160,3818,36005016700,40.84,-73.902
161,3827,36005018102,40.832,-73.918
162,3828,36005018301,40.829,-73.921
163,3830,36005018400,40.837,-73.829
164,3838,36005020000,40.843,-73.846
165,3842,36005020501,40.847,-73.924
166,3846,36005021001,40.841,-73.858
167,3847,36005021002,40.838,-73.857
168,3849,36005021200,40.836,-73.859
169,3851,36005021302,40.843,-73.92
170,3854,36005021601,40.838,-73.865
171,3857,36005021800,40.837,-73.87
172,3858,36005021900,40.84,-73.92
173,3861,36005022102,40.838,-73.916
174,3862,36005022200,40.836,-73.855
175,3867,36005022500,40.84,-73.911
176,3870,36005022703,40.844,-73.91
177,3871,36005022800,40.853,-73.864
178,3872,36005022901,40.846,-73.907
179,3875,36005023100,40.846,-73.902
180,3878,36005023302,40.848,-73.905
181,3879,36005023501,40.852,-73.905
182,3880,36005023502,40.851,-73.903
183,3883,36005023703,40.86,-73.9
184,3886,36005023900,40.859,-73.903
185,3888,36005024100,40.853,-73.906
186,3890,36005024400,40.846,-73.858
187,3895,36005024800,40.855,-73.858
188,3897,36005025000,40.852,-73.856
189,3898,36005025100,40.857,-73.908
190,3899,36005025200,40.847,-73.855
191,3900,36005025300,40.861,-73.905
192,3901,36005025400,40.848,-73.852
193,3902,36005025500,40.861,-73.909
194,3903,36005025600,40.844,-73.85
195,3905,36005026100,40.867,-73.906
196,3906,36005026300,40.865,-73.904
197,3907,36005026400,40.842,-73.832
198,3908,36005026500,40.866,-73.9
199,3909,36005026601,40.847,-73.834
200,3910,36005026602,40.846,-73.831
201,3914,36005027300,40.874,-73.903
202,3917,36005027600,40.855,-73.821
203,3918,36005027700,40.878,-73.901
204,3919,36005027900,40.882,-73.897
205,3920,36005028100,40.884,-73.891
206,3921,36005028300,40.881,-73.902
207,3922,36005028400,40.849,-73.839
208,3923,36005028500,40.886,-73.903
209,3924,36005028600,40.849,-73.848
210,3926,36005028800,40.854,-73.851
211,3927,36005028900,40.88,-73.907
212,3929,36005029302,40.879,-73.916
213,3930,36005029500,40.885,-73.909
214,3931,36005029600,40.855,-73.845
215,3932,36005029700,40.885,-73.912
216,3933,36005030000,40.852,-73.831
217,3934,36005030100,40.883,-73.918
218,3935,36005030200,40.864,-73.822
219,3937,36005030900,40.898,-73.915
220,3939,36005031200,40.862,-73.842
221,3940,36005031400,40.862,-73.846
222,3941,36005031600,40.862,-73.849
223,3942,36005031800,40.862,-73.852
224,3943,36005031900,40.913,-73.907
225,3944,36005032300,40.905,-73.908
226,3945,36005032400,40.861,-73.86
227,3946,36005032600,40.862,-73.855
228,3948,36005033000,40.862,-73.866
229,3950,36005033202,40.863,-73.869
230,3951,36005033400,40.858,-73.875
231,3953,36005033600,40.868,-73.869
232,3954,36005033700,40.906,-73.903
233,3955,36005033800,40.868,-73.866
234,3958,36005034300,40.91,-73.898
